20130131,1960.72
20130228,1976.4
20130329,1931.69
20130426,2082.53
20130531,2179.68
20130628,1930.64
20130731,2104.75
20130830,2153.2
20130930,2046.27
20131031,2161.1
20131129,2145.06
20131231,1988.18
20140130,1945.45
20140228,2041.03
20140331,2074.96
20140430,2172.51
20140530,2259.69
20140630,2241.08
20140731,2348.01
20140829,2298.19
20140930,2339.54
20141031,2430.89
20141128,2522.52
20141231,2742.72
20150130,2883.69
20150227,2894.07
20150331,3086.8
20150430,4316.02
20150529,4137.34
20150630,4227.26
20150731,4151.94
20150831,4388.97
20150930,3691.41
20151030,3747.77
20151130,3644.49
20151231,3829.77
20160129,3578.99
20160229,3740.38
20160331,3801.42
20160429,4067.21
20160531,3982.79
20160630,4003.19
20160729,4209.41
20160831,4226.55
20160930,3992.12
20161031,4248.26
20161130,4605.12
20161230,4369.07
20170126,4170.08
20170228,4441.42
20170331,4289.12
20170428,4288.4
20170531,4301.01
